"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","514","HEAD /todos - получить только заголовки","chromium","2026-03-25","passed","2026-03-25","","api.spec.js","",""
"","4737","Пользователь создает новую статью","chromium","2026-03-25","passed","2026-03-25","","ui.spec.js","",""
"","658","GET /todos/{id} - 404 Not Found","chromium","2026-03-25","passed","2026-03-25","","api.spec.js","",""
"","596","POST /todos - 400 Bad Request (неверный doneStatus)","chromium","2026-03-25","passed","2026-03-25","","api.spec.js","",""
"","1035","PUT /todos/{id} - полное обновление задачи","chromium","2026-03-25","passed","2026-03-25","","api.spec.js","",""
"","1160","GET /todos - получить все задачи","chromium","2026-03-25","passed","2026-03-25","","api.spec.js","",""
"","4757","Пользователь может изменить свое имя в профиле","chromium","2026-03-25","passed","2026-03-25","","ui.spec.js","",""
"","431","POST /todos - создать новую задачу","chromium","2026-03-25","passed","2026-03-25","","api.spec.js","",""
"","1331","GET /challenges - получить список челленджей","chromium","2026-03-25","passed","2026-03-25","","api.spec.js","",""
"","6924","Пользователь редактирует статью","chromium","2026-03-25","passed","2026-03-25","","ui.spec.js","",""
"","4186","Пользователь удаляет статью","chromium","2026-03-25","passed","2026-03-25","","ui.spec.js","",""
"","1167","GET /todo - 404 Not Found","chromium","2026-03-25","passed","2026-03-25","","api.spec.js","",""
"","5092","Пользователь оставляет комментарий к статье","chromium","2026-03-25","passed","2026-03-25","","ui.spec.js","",""
"","1548","GET /todos/{id} - получить задачу по ID","chromium","2026-03-25","passed","2026-03-25","","api.spec.js","",""
"","964","DELETE /todos/{id} - удалить задачу","chromium","2026-03-25","passed","2026-03-25","","api.spec.js","",""
